上「,あの
しました,。
。,入力
入力,：
：,砂場清隆校正
砂場清隆校正,：
：,湖山
湖山,ルル
ルル,年月日作成青空文庫作成
年月日作成青空文庫作成,ファイル
ファイル,：
：,この
この,ファイル
ファイル,は
は,、
、,インタ
インタ,ー
ー,ネット
ネット,の
の,図書館
図書館,、
、,青空文庫
青空文庫,（）
（）,で
で,作
作,られました
られました,。
。,入力
入力,、
、,校正
校正,、
、,制作
制作,にあたったのは
にあたったのは,、
、,ボランティア
ボランティア,の
の,皆
皆,さんです
さんです,。●
。●,表記
表記,についてこの
についてこの,ファイル
ファイル,は
は,勧告
勧告,にそった
にそった,形式
形式,で
で,作成
作成,されています
されています,。「
。「,くの
くの,字点
字点,」
」,をのぞくにある
をのぞくにある,文字
文字,は
は,、
、,画像化
画像化,して
して,埋
埋,め
め,込
込,みました
みました,。●
。●,図書
図書,カ
カ,ー
ー,ド
