一,親譲
しかし,清
清,がなるなると
がなるなると,云
云,うものだから
うものだから,、
、,やっぱり
やっぱり,何
何,かに
かに,成
成,れるんだろうと
れるんだろうと,思
思,っていた
っていた,。
。,今
今,から
から,考
考,えると
えると,馬鹿馬鹿
馬鹿馬鹿,（
（,ばかばか
ばかばか,）
）,しい
しい,。
。,ある
ある,時
時,などは
などは,清
清,にどんなものになるだろうと
にどんなものになるだろうと,聞
聞,いてみた
いてみた,事
事,がある
がある,。
。,ところが
ところが,清
清,にも
にも,別段
別段,の
の,考
考,えもなかったようだ
えもなかったようだ,。
。,ただ
ただ,手車
手車,（
（,てぐるま
てぐるま,）
）,へ
へ,乗
乗,って
って,、
、,立派
立派,な
な,玄関
玄関,（
（,げんかん
げんかん,）
）,のある
のある,家
家,をこしらえるに
をこしらえるに,相違
相違,（
（,そうい
そうい,）
）,ないと
ないと,云
云,った
った,。
。,それから
それから,清
清,はおれがうちでも
はおれがうちでも,持
持,って
って,独立
独立,したら
したら,、
、,一所
一所,（
（,いっしょ
いっしょ,）
）,になる
になる,気
気,でいた
でいた,。
。,どうか
どうか,置
置,いて
いて,下
下,さいと
さいと,何遍
何遍,も
も,繰
繰,（
（,く
く,）
）,り
り,返
返,して
して,頼
頼,んだ
んだ,。
。,おれも
おれも,何
何,だかうちが
だかうちが,持
持,てるような
てるような,気
気,がして
がして,、
、,うん
うん,置
置,いてやると
いてやると,返事
返事,だけはしておいた
だけはしておいた,。
。,ところがこの
ところがこの,女
女,はなかなか
はなかなか,想像
想像,の
の,強
強,い
い,女
女,で
で,、
、,あなたはどこがお
あなたはどこがお,好
好,き
き,、
、,麹町
麹町,（
（,こうじまち
こうじまち,）
）,ですか
ですか,麻布
麻布,（
（,あざぶ
あざぶ,）
）,ですか
ですか,、
、,お
お,庭
庭,へぶらんこをおこしらえ
へぶらんこをおこしらえ,遊
遊,ばせ
ばせ,、
、,西洋間
西洋間,は
は,一
一,つでたくさんですなどと
つでたくさんですなどと,勝手
勝手,な
な,計画
計画,を
を,独
独,りで
りで,並
並,（
（,なら
なら,）
）,べていた
べていた,。
。,その
その,時
時,は
は,家
家,なんか
なんか,欲
欲,しくも
しくも,何
何,ともなかった
ともなかった,。
。,西洋館
西洋館,も
も,日本建
日本建,（
（,にほんだて
にほんだて,）
）,も
も,全
全,く
く,不用
不用,であったから
であったから,、
、,そんなものは
そんなものは,欲
欲,しくないと
しくないと,、
、,いつでも
いつでも,清
清,に
に,答
答,えた
えた,。
。,すると
すると,、
、,あなたは
あなたは,欲
欲,がすくなくって
がすくなくって,、
、,心
心,が
が,奇麗
奇麗,だと
だと,云
云,ってまた
ってまた,賞
賞,めた
めた,。
。,清
清,は
は,何
何,と
と,云
云,っても
っても,賞
賞,めてくれる
めてくれる,。
。,母
母,が
が,死
死,んでから
んでから,五六年
五六年,の
の,間
間,はこの
はこの,状態
状態,で
で,暮
暮,していた
していた,。
。,おやじには
おやじには,叱
叱,られる
られる,。
。,兄
兄,とは
とは,喧嘩
喧嘩,をする
をする,。
。,清
清,には
には,菓子
菓子,を
を,貰
貰,う
う,、
、,時
時,々
々,賞
賞,められる
められる,。
。,別
別,に
に,望
望,みもない
みもない,。
。,これでたくさんだと
これでたくさんだと,思
思,っていた
っていた,。
。,ほかの
ほかの,小供
小供,も
も,一概
一概,（
（,いちがい
いちがい,）
）,にこんなものだろうと
にこんなものだろうと,思
思,っていた
っていた,。
。,ただ
ただ,清
清,が
が,何
何,かにつけて
かにつけて,、
、,あなたはお
あなたはお,可哀想
可哀想,（
（,かわいそう
かわいそう,）
）,だ
だ,、
、,不仕合
不仕合,（
（,ふしあわせ
ふしあわせ,）
）,だと
だと,無暗
無暗,に
に,云
云,うものだから
うものだから,、
、,それじゃ
それじゃ,可哀想
可哀想,で
で,不仕合
不仕合,せなんだろうと
せなんだろうと,思
思,った
った,。
。,その
その,外
外,に
に,苦
苦,になる
になる,事
事,は
は,少
少,しもなかった
しもなかった,。
。,ただおやじが
ただおやじが,小遣
小遣,いをくれないには
いをくれないには,閉口
閉口,した
した,。
。,母
母,が
が,死
死,んでから
んでから,六年目
六年目,の
の,正月
正月,におやじも
におやじも,卒中
卒中,で
で,亡
亡,くなった
くなった,。
。,その
その,年
年,の
の,四月
四月,におれはある
におれはある,私立
私立,の
の,中学校
中学校,を
を,卒業
卒業,する
する,。
。,六月
六月,に
に,兄
兄,は
は,商業学校
商業学校,を
を,卒業
卒業,した
した,。
。,兄
兄,は
は,何
何,とか
とか,会社
会社,の
の,九州
九州,の
の,支店
支店,に
に,口
口,があって
があって,行
行,（
（,ゆ
ゆ,）
）,かなければならん
かなければならん,。
。,おれは
おれは,東京
東京,でまだ
でまだ,学問
学問,をしなければならない
をしなければならない,。
。,兄
兄,は
は,家
家,を
を,売
売,って
って,財産
財産,を
を,片付
片付,けて
けて,任地
任地,へ
へ,出立
出立,（
（,しゅったつ
しゅったつ,）
）,すると
すると,云
云,い
い,出
出,した
した,。
。,おれはどうでもするがよかろうと
おれはどうでもするがよかろうと,返事
返事,をした
をした,。
。,どうせ
どうせ,兄
兄,の
の,厄介
厄介,（
（,やっかい
やっかい,）
）,になる
になる,気
気,はない
はない,。
。,世話
世話,をしてくれるにしたところで
をしてくれるにしたところで,、
、,喧嘩
喧嘩,をするから
をするから,、
、,向
向,うでも
うでも,何
何,とか
とか,云
云,い
い,出
出,すに
すに,極
極,（
（,きま
きま,）
）,っている
っている,。
。,なまじい
なまじい,保護
保護,を
を,受
受,ければこそ
ければこそ,、
、,こんな
こんな,兄
兄,に
に,頭
頭,を
を,下
下,げなければならない
げなければならない,。
。,牛乳配達
牛乳配達,をしても
をしても,食
食,ってられると
ってられると,覚悟
覚悟,（
（,かくご
かくご,）
）,をした
をした,。
。,兄
兄,はそれから
はそれから,道具屋
道具屋,を
を,呼
呼,んで
んで,来
来,て
て,、
、,先祖代
先祖代,々
々,の
の,瓦落多
瓦落多,（
（,がらくた
がらくた,）
）,を
を,二束三文
二束三文,（
（,にそくさんもん
にそくさんもん,）
）,に
に,売
売,った
った,。
。,家屋敷
家屋敷,（
（,いえやしき
いえやしき,）
）,はある
はある,人
人,の
の,周旋
周旋,（
（,しゅうせん
しゅうせん,）
）,である
である,金満家
金満家,に
に,譲
譲,った
った,。
。,この
この,方
方,は
は,大分金
大分金,になったようだが
になったようだが,、
、,詳
詳,（
（,くわ
くわ,）
）,しい
しい,事
事,は
は,一向知
一向知,らぬ
らぬ,。
。,おれは
おれは,一
一,ヶ
ヶ,月以前
月以前,から
から,、
、,しばらく
しばらく,前途
前途,の
の,方向
方向,のつくまで
のつくまで,神田
神田,の
の,小川町
小川町,（
（,おがわまち
おがわまち,）
）,へ
へ,下宿
下宿,していた
していた,。
。,清
清,は
は,十何年居
十何年居,たうちが
たうちが,人手
人手,に
に,渡
渡,（
（,わた
わた,）
）,るのを
るのを,大
大,いに
いに,残念
残念,がったが
がったが,、
、,自分
自分,のものでないから
のものでないから,、
、,仕様
仕様,がなかった
がなかった,。
。,あなたがもう
あなたがもう,少
少,し
し,年
年,をとっていらっしゃれば
をとっていらっしゃれば,、
、,ここがご
ここがご,相続
相続,が
が,出来
出来,ますものをとしきりに
ますものをとしきりに,口説
口説,いていた
いていた,。
。,もう
もう,少
少,し
し,年
年,をとって
をとって,相続
相続,が
が,出来
出来,るものなら
るものなら,、
、,今
今,でも
でも,相続
相続,が
が,出来
出来,るはずだ
るはずだ,。
。,婆
婆,さんは
さんは,何
何,（
（,なんに
なんに,）
）,も
も,知
知,らないから
らないから,年
年,さえ
さえ,取
取,れば
れば,兄
兄,の
の,家
家,がもらえると
がもらえると,信
信,じている
じている,。
。,兄
兄,とおれはかように
とおれはかように,分
分,れたが
れたが,、
、,困
困,ったのは
ったのは,清
清,の
の,行
行,く
く,先
先,である
である,。
。,兄
兄,は
は,無論連
無論連,れて
れて,行
行,ける
ける,身分
身分,でなし
でなし,、
、,清
清,も
も,兄
兄,の
の,尻
尻,にくっ
にくっ,付
付,いて
いて,九州下
九州下,（
（,くんだ
くんだ,）
）,りまで
りまで,出掛
出掛,ける
ける,気
気,は
は,毛頭
毛頭,なし
なし,、
、,と
と,云
云,ってこの
ってこの,時
時,のおれは
のおれは,四畳半
四畳半,（
（,よじょうはん
よじょうはん,）
）,の
の,安下宿
安下宿,に
に,籠
籠,（
（,こも
こも,）
）,って
って,、
、,それすらもいざとなれば
それすらもいざとなれば,直
直,ちに
ちに,引
引,き
き,払
払,（
（,はら
はら,）
）,わねばならぬ
わねばならぬ,始末
始末,だ
だ,。
。,どうする
どうする,事
事,も
も,出来
出来,ん
ん,。
。,清
清,に
に,聞
聞,いてみた
いてみた,。
。,どこかへ
どこかへ,奉公
奉公,でもする
でもする,気
気,かねと
かねと,云
云,ったらあなたがおうちを
ったらあなたがおうちを,持
持,って
って,、
、,奥
奥,（
（,おく
おく,）
）,さまをお
さまをお,貰
貰,いになるまでは
いになるまでは,、
、,仕方
仕方,がないから
がないから,、
、,甥
甥,（
（,おい
おい,）
）,の
の,厄介
厄介,になりましょうとようやく
になりましょうとようやく,決心
決心,した
した,返事
返事,をした
をした,。
。,この
この,甥
甥,は
は,裁判所
裁判所,の
の,書記
書記,でまず
でまず,今日
今日,には
には,差支
差支,（
（,さしつか
さしつか,）
）,えなく
えなく,暮
暮,していたから
していたから,、
、,今
今,までも
までも,清
清,に
に,来
来,るなら
るなら,来
来,いと
いと,二三度勧
二三度勧,めたのだが
めたのだが,、
、,清
清,はたとい
はたとい,下女奉公
下女奉公,はしても
はしても,年来住
年来住,み
み,馴
馴,（
（,な
な,）
）,れた
れた,家
家,（
（,うち
うち,）
）,の
の,方
方,がいいと
がいいと,云
云,って
って,応
応,じなかった
じなかった,。
。,しかし
しかし,今
今,の
の,場合知
場合知,らぬ
らぬ,屋敷
屋敷,へ
へ,奉公易
奉公易,（
（,ほうこうが
ほうこうが,）
）,えをして
えをして,入
入,らぬ
らぬ,気兼
気兼,（
（,きがね
きがね,）
）,を
を,仕直
仕直,すより
すより,、
、,甥
甥,の
の,厄介
厄介,になる
になる,方
方,がましだと
がましだと,思
思,ったのだろう
ったのだろう,。
。,それにしても
それにしても,早
早,くうちを
くうちを,持
持,ての
ての,、
、,妻
妻,（
（,さい
さい,）
）,を
を,貰
貰,えの
えの,、
、,来
来,て
て,世話
世話,をするのと
をするのと,云
云,う
う,。
。,親身
親身,（
（,しんみ
しんみ,）
）,の
の,甥
甥,よりも
よりも,他人
他人,のおれの
のおれの,方
方,が
が,好
好,きなのだろう
きなのだろう,。
。,九州
九州,へ
へ,立
立,つ
つ,二日前兄
二日前兄,が
が,下宿
下宿,へ
へ,来
来,て
て,金
金,を
を,六百円出
六百円出,してこれを
してこれを,資本
資本,にして
にして,商買
商買,（
（,しょうばい
しょうばい,）
）,をするなり
をするなり,、
、,学資
学資,にして
にして,勉強
勉強,をするなり
をするなり,、
、,どうでも
どうでも,随意
随意,（
（,ずいい
ずいい,）
）,に
に,使
使,うがいい
うがいい,、
、,その
その,代
代,りあとは
りあとは,構
構,わないと
わないと,云
云,った
った,。
。,兄
兄,にしては
にしては,感心
感心,なやり
なやり,方
方,だ
だ,、
、,何
何,の
の,六百円
六百円,ぐらい
ぐらい,貰
貰,わんでも
